query_id,query,short_answer,generated_answer,llm_judge_a,annotator_1,annotator_2
Zxht8GKyO3Fy,the concept of fundamental duties was adopted from the constitution of which country,['India'],"The concept of fundamental duties was adopted from the Constitution of Pakistan. The Fundamental Duties were added to the Constitution of India by the 42nd Amendment in 1976, upon the recommendations of the Swaran Singh Committee that was constituted by the government earlier that year. These duties were originally ten in number",0,,
e6KQWqTrdGgt,who wants to be a millionaire first uk winner,['Judith Cynthia Aline Keppel'],"Judith Cynthia Aline Keppel, born 18 August 1942, is the first one-million-pound winner on the television game show Who Wants to Be a Millionaire? in the United Kingdom. She is also the only woman in the United Kingdom to have won it and",1,,
T1OUBRknyuIR,when can you use the term patent pending,"['can be used in relation to a product or process once a patent application for the product or process has been filed, but prior to the patent being issued or the application abandoned']","According to the United States Patent and Trademark Office, the term ""Patent Pending"" can be used when a patent application has been filed, but not yet issued. This is permitted so long as the application has been filed in accordance with the rules and regulations set by the United States Patent and Trademark",1,,
9JV3sC6xYCgu,who plays liam in season 1 of black mirror,['Toby Kebbell'],Toby Kebbell plays the character of Liam in the first season of Black Mirror,1,,
CyBNGJCiCwk7,when is a breast cancer patient considered a survivor,"['""living with or beyond cancer""']","According to the National Coalition for Cancer Survivorship (NCCS) and the US National Cancer Institute's Office of Cancer Survivorship, a breast cancer patient is considered a survivor from the time of initial diagnosis until their death. This definition includes people who are currently undergoing treatment, those who have completed treatment, and those who",1,,
acNOMwDGxovJ,who wrote the story of alice in wonderland,['Charles Lutwidge Dodgson under the pseudonym Lewis Carroll'],The story of Alice in Wonderland was written by English author Charles Lutwidge Dodgson under the pseudonym Lewis Carroll,1,,
Kg3VBYoy4mGh,who sings can't you see what that woman's been doin to me,['The Marshall Tucker Band'],"The song ""Can't You See"" is sung by the American country music artist Waylon Jennings",0,,
wQBmcFBVpJ6E,who plays hugo in the vicar of dibley,['James Edward Fleet'],"James Edward Fleet plays the role of Hugo Horton in the British sitcom ""The Vicar of Dibley.""",1,,
vMzO1zqHnKTm,who is the founder of pak n save,['Foodstuffs'],The founder of Pak'nSave is David McLean. He founded the company in 1985,0,,
jRoyd2t51VLz,who introduced the color wheel to represent the organization of color,['Isaac Newton'],"The color wheel was introduced by Sir Isaac Newton in his work ""Opticks"" (1704). Newton arranged the colors of the visible spectrum in a circle to predict the admixture of light",1,,
ttl583VWsSkS,how many panes of glass in the louvre pyramid,['603 rhombus-shaped70 triangular glass segments'],"According to the information provided, the Louvre Pyramid consists of 673 glass panes",0,,
8wPPjhLc1ULi,ye rishta kya kehlata hai serial actress name,['Yeh Rishta Kya Kehlata Hai'],"The main actress of Yeh Rishta Kya Kehlata Hai is Naira, played by Shivangi Joshi",1,,
lWAeHf4DDWDF,where are the next winter games going to be held,"[""in Beijing and towns in the neighboring Hebei province, People's Republic of China""]","The next Winter Olympics will be held in Beijing, China, from 4 to 20 February 2022",1,,
rGGYvUNWhsAf,where was the first harvey's restaurant located,"['at the southeast corner of Yonge Street and Observatory Lane in Richmond Hill, Ontario']","The first Harvey's restaurant was located at the southeast corner of Yonge Street and Observatory Lane in Richmond Hill, Ontario, on a 10-acre (40,000 m2) parcel of land purchased from the owner of a bankrupt Dairy Queen",1,,
C3uBMukxcFWv,who wrote the music for twinkle twinkle little star,['Jane Taylor'],"The music for ""Twinkle, Twinkle, Little Star"" was written by Charles Randolph Grean, Fred Hertz, and Leonard Nimoy. However, the English lyrics were first written as a poem by Jane Taylor (1783–1824) and published with the title ""The Star""",0,,
Eow0Ga4wPwhL,when was the last time the cavs won a championship,['2016'],"The last time the Cleveland Cavaliers won a championship was in 2016, when they won their first NBA championship and first major sports title in the city since 1964",1,,
e9Qn7tnB5cQR,who is milo on dancing eith the stars,['actor'],Milo Manheim is the actor who will be partnered with Witney Carson on Dancing with the Stars in season 27,1,,
oJPf6DpxaUKs,who sang what do you want to make them eyes at me for,['Ada JonesBilly Murray'],"The song ""What Do You Want to Make Those Eyes at Me For?"" was originally sung by Ada Jones and Billy Murray in 1917. However, the most well-known version of the song is the doo-wop version by Emile Ford and the Checkmates, which became a UK hit",1,,
zc5xJmBp4SFE,who died in the fate of the furious 8,['Elena'],"In The Fate of the Furious (2017), Paul Walker, who played Brian O'Conner, died in a single-vehicle crash during the filming of Furious 7 (2015) on November 30, 2013",0,,
UyNdu6qcWvkv,where does the superior vena cava lead to,['the right atrium of the heart'],"The superior vena cava (SVC) leads to the right atrium of the heart. It is a large-diameter vein that receives venous return from the upper half of the body, above the diaphragm, and is located in the anterior right superior mediastinum. The SVC is formed by the left",1,,
aCYq8OXnr2lQ,what is the show sons of anarchy about,"[""the lives of a close-knit outlaw motorcycle club operating in Charming, a fictional town in California's Central Valley""]","The show Sons of Anarchy is about the lives of a close-knit outlaw motorcycle club, Sons of Anarchy Motorcycle Club, Redwood Original (SAMCRO), which operates in Charming, a fictional town in California's Central Valley. The show follows the personal and family life of Jackson ""Jax",1,,
RVyN2otMmxo9,where is the external oblique located in the body,['on the lateral and anterior parts of the abdomen'],"The external oblique muscle is located on the lateral and anterior parts of the abdomen. It is a large, thin, and irregularly quadrilateral muscle that is situated just deep to the external oblique. The muscular portion of the external oblique is situated on the side of the abdomen, while its aponeurosis is the anterior",1,,
LzWThDfsY0Tw,what was the original name of the cape of good hope,"['""Cape of Storms""']","The original name of the Cape of Good Hope was ""Cabo das Tormentas"" or ""Cape of Storms"" in Portuguese. This name was given by Portuguese explorer Bartolomeu Dias in 1488",1,,
0T208asHWOJF,by 1967 the reaction against the war on poverty resulted in,"['fatal disadvantage [because] the programs have never proceeded on a coordinated basis...[and noted that] at no time has a total, coordinated and fully adequate program been conceived']","The reaction against the War on Poverty by 1967 resulted in a decline in support for welfare state programs, especially those that targeted specific groups and neighborhoods. Many whites viewed Great Society programs as supporting the economic and social needs of low-income urban minorities, leading to diminished support. Additionally, Martin Luther King criticized",0,,
x5hDSl9HniJ8,when was the motto in god we trust adopted,['1956'],"The motto ""In God We Trust"" was adopted in the United States of America in 1956",1,,
vkc1vYtkHnyA,the type of electrical current in which electrons flow first in one direction then in the other is,['alternating'],"The type of electrical current in which electrons flow first in one direction then in the other is called Alternating Current (AC). In contrast, Direct Current (DC) is the unidirectional flow of electric charge, or a system in which the movement of electric charge is in one direction only",1,,
4gNXjtrfzdQO,who organized the non brahmin movement in maharashtra,['Satyashodhak Samaj'],"The non-Brahmin movement in Maharashtra was organized by Jyotirao Phule, a social reformer and founder of the Satyashodhak Samaj (Truth-seekers' Society) in Pune, India, on 24 September 1873. The Samaj aimed to",1,,
VvdPNaZY78cY,lead-glass material used for decorative items made by lalique,['crystal'],"Lalique uses lead-glass material for the production of decorative items. This material is particularly well-suited for creating intricate and detailed designs, which is a hallmark of Lalique's artistic glass works. The use of lead-glass allows for a wide range of colors and textures, making it a versatile material for Lal",1,,
Ms8VBqNxxnxY,where is the biggest guinness brewery in the world,['Ireland'],"The biggest Guinness brewery in the world is located in St. James's Gate, Dublin, Ireland. It was founded in 1759 and is now a part of Diageo, a British company formed from the merger of Guinness and Grand Metropolitan in 1997. The brewery",1,,
YnSvxk7VQcv3,when did visors become mandatory in the nhl,['2013'],Visors became mandatory in the NHL starting from the 2006-07 season,0,,
A6GtUqhoOVNX,this type of receptor is found in the eye,['photoreceptor cell'],"The type of receptor you are referring to is a photoreceptor cell, which is a specialized type of sensory neuron found in the retina. These cells are responsible for converting light into signals that can stimulate biological processes. There are currently three known types of photoreceptor cells in mammalian eyes: rods, cones, and photosensitive retinal",1,,
fTGnYkoCpsrU,olmec colossal heads were created using this method of sculpting,['direct percussionhammerstonesAbrasives'],"Based on the information provided, the method of sculpting the Olmec colossal heads is described as follows:",0,,
C1kZWWvYdaB7,who is the main female character in as you like it,['Rosalind'],"The main female character in As You Like It is Rosalind. She is the protagonist of the play and is known for her wit, intelligence, and her ability to navigate the complexities of love and identity",1,,
cPps93xFbrAl,what is the man's name in alvin and the chipmunks,['David (Dave) Seville'],The man's name in Alvin and the Chipmunks is Agent James Suggs,0,,
GopxhPTYNNbU,after how much time we can withdraw money from ppf,['from the start of the seventh financial year.'],"Based on the information provided, you can withdraw money from a PPF (Public Provident Fund) account after 15 years of maturity. The maximum amount that can be withdrawn pre-maturely is equal to 50% of the amount that stood in the account at the end of the 4th",0,,
4QD0qpJxMdDE,who did we buy the louisiana territory from,['France'],The United States bought the Louisiana Territory from France,1,,
1SaR5ttzuuMZ,when does the handmaids tale season 2 start,"['April 25, 2018']","The Handmaid's Tale Season 2 premiered on April 25, 2018, on April 25, 2018",1,,
xjtydElFFosx,when did the bears start playing at soldier field,['1971'],"The Chicago Bears started playing at Soldier Field on November 27, 1926, during the 29th annual playing of the Army–Navy Game",0,,
aAEqW69ZVzfe,the state of himachal accounts for how much area of india,"['55,673 square kilometres']",Himachal Pradesh accounts for 3.3% of the total area of India,1,,
veGepXAG0Z4l,when did stink bugs come to the us,['1998'],The brown marmorated stink bug was accidentally introduced to the United States in September 1998,1,,
ELotbBWp21eJ,when does the new tv series young sheldon start,"['November 2, 2017']","Young Sheldon, a spin-off prequel to The Big Bang Theory, began airing weekly episodes on CBS from November 2, 2017. It premiered as a special preview on September 25, 2017",1,,
Fo8A3wDApISf,who wrote the song ask the blind man he saw it all,['Daryl Mosley'],"The song ""Ask the Blind Man"" was written by Daryl Mosley",1,,
bSJz4wHezQq3,when is hispanic heritage month celebrated in the united states,['September 15 to October 15'],Hispanic Heritage Month in the United States is celebrated from September 15 to October 15. This period recognizes the contributions of Hispanic and Latino Americans to the group's heritage and culture,1,,
htN8oKoYEDbF,what does the song running against the wind mean,"['about aging and dealing with ""all the burdens we\'ll ever have to face.""']","The song ""Running Against the Wind"" by Bob Seger & The Silver Bullet Band is a metaphor for overcoming obstacles and challenges in life. The lyrics describe a person who is running against the wind, which symbolizes the difficulties and hardships that one faces in life. The song is about the struggle to keep moving forward despite the",1,,
CAjCCc2Gwx0V,who plays will gardner on the good wife,['Joshua Aaron Charles'],"Joshua Aaron Charles plays the role of Will Gardner on the TV series ""The Good Wife.""",1,,
T2kSSE2Q1XBg,who wrote the score to lord of the rings,['Howard Leslie Shore'],The score to Lord of the Rings was written by Howard Leslie Shore,1,,
m98rzKyLETms,describe fractional ownership of a small aircraft fleet,"['where multiple owners share the costs of purchasing, leasing and operating the aircraft']","Fractional ownership of a small aircraft fleet refers to a commercial system where multiple individuals or organizations share the costs and benefits of owning a small fleet of aircraft. In this system, the aircraft is split into smaller fractions, typically 1/16 or 1/8, which represent a certain number of hours per",1,,
0gHy7KjtL0db,who has won the most formula 1 world championships,['German Michael Schumacher'],"Based on the information provided, Michael Schumacher has won the most Formula 1 World Championships with seven titles",1,,
jJYdhkFbWHc2,where did the first chick fil a open,['1967'],"The first Chick-fil-A opened in 1967, in the food court of the Greenbriar Mall, in a suburb of Atlanta. During the 1970s and early 1980s, the chain expanded by opening new franchises in suburban malls' food courts",1,,
X6fkwV13XRkG,which is the other name that mount k2 is known by,['Mount Godwin-AustenChhogori'],The other name that Mount K2 is known by is Chhogori (Balti and Urdu: چھوغوری‎),1,,
s0J3NYnQedSK,who is the king singing to in hamilton,['the rebelling American colonists'],"In ""You'll Be Back,"" the King of Great Britain is singing to the American colonists",1,,
jYwxgeYWHCKf,what does the song like a prayer mean,"['young girl in love with God, who becomes the only male figure in her life.']","""Like a Prayer"" is a song by Madonna, and its meaning can be interpreted in multiple ways. The song is a mix of pop rock, gospel, and funk music, which is reflected in its lyrics. The song is about a passionate young girl in love with God, who becomes the only male figure",1,,
9OgQC7f5NlON,what is the main religion of the dominican republic,['Catholicism'],"The main religion in the Dominican Republic is Roman Catholicism, with an estimated 78% of the population being baptized Catholics",1,,
Lb89EMHjT5lb,name of thailands new year festival in april,['Songkran'],Thailand's New Year's festival is known as Songkran,1,,
hMXI2R93AUcP,where is the rock and roll hall of fame located,"['The Rock and Roll Hall of Fame, located on the shore of Lake Erie in downtown Cleveland, Ohio,']","The Rock and Roll Hall of Fame is located in Cleveland, Ohio, on the shore of Lake Erie in downtown Cleveland. It is situated on the Metro Campus of Cuyahoga Community College in the city's Campus District",1,,
UDgyuAkK7wBB,what does code red mean in the emergency room,['fire has broken out somewhere in the hospital facility'],"In the emergency room, ""code red"" is a hospital emergency code that indicates a fire has broken out somewhere in the hospital facility. This code is used to alert the hospital staff and emergency response teams to respond to the fire and ensure the safety of everyone in the hospital",1,,
bowSH6FQMU2p,who did the voice of jessica rabbit in who framed roger rabbit,['Kathleen TurnerAmy Irving'],Kathleen Turner provided the voice of Jessica Rabbit in Who Framed Roger Rabbit,1,,
Ct5T9QoLFrgW,where in scripture can you find the gifts of the holy spirit,['chapter 5 of the Epistle to the Galatians'],"The gifts of the Holy Spirit are mentioned in the New Testament, particularly in the book of Acts and the Epistles. Some of the key passages where the gifts of the Holy Spirit are mentioned include:",1,,
FVr9Qh8yXv6U,who was the owner of the union pacific railroad,['Union Pacific Corporation (NYSE: UNP)'],"The owner of the Union Pacific Railroad was Jay Gould. He was the dominant stockholder of the original Union Pacific Rail Road, which was incorporated on July 1, 1862. The Union Pacific Rail Road was taken over by the new Union Pacific Railway on January 24, 1880",0,,
4FJo9RD6Pcm1,who plays john in last tango in halifax,['Tony Gardner'],"In Last Tango in Halifax, John is played by Tony Gardner",1,,
ALwZPTKLL7OV,what musical is the song there's a place for us,['West Side Story'],"The musical is ""West Side Story""",1,,
aWqUv7w9UqZR,where does the story of the nutcracker take place,['Land of Sweets'],"The story of the Nutcracker takes place in Saint Petersburg, Russia. It is set in the winter season, and the main characters, Clara and the Nutcracker Prince, live in a grand house in the city",0,,
PQVUHUdbgYDU,when does the tv series the purge start,"['September 4, 2018']","The Purge, a television series, is set to premiere on September 4, 2018",1,,
ays80jUzvgH6,when did the new season of the amazing race start,"['January 3, 2018']","The new season of The Amazing Race, The Amazing Race 30, started on January 3, 2018",1,,
xMsOSaBMN6m1,article 25-28 of the indian constitution deal with __,['Freedom of religion'],"Article 25-28 of the Indian Constitution deal with the fundamental right to freedom of religion, which includes the right to freely practice, profess, and propagate religion, subject to public order, morality, and health",1,,
VguIdtsiZaXl,how long is the boardwalk in myrtle beach sc,['1.2 miles'],"The Myrtle Beach Boardwalk & Promenade in Myrtle Beach, South Carolina, is 1.2 miles (1.9 km) long",1,,
